CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,Glenn_06.21.1983-12.31.1991
394073N1221913W001,,10/11/1983,00:00,,,1.800,0.000,1.800,97.440,96.440,95.640,0.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Glenn_06.21.1983-12.31.1991
394073N1221913W001,,3/6/1984,00:00,6 - Well has been destroyed,,,,,97.440,96.440,,,,,Department of Water Resources,Voluntary,,Glenn_06.21.1983-12.31.1991
394130N1219913W001,18N01W17G001M,10/16/1983,00:00,,,16.000,0.000,16.000,81.390,81.390,65.390,16.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Glenn_06.21.1983-12.31.1991
394130N1219913W001,18N01W17G001M,3/9/1984,00:00,,,12.200,0.000,12.200,81.390,81.390,69.190,12.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Glenn_06.21.1983-12.31.1991
394130N1219913W001,18N01W17G001M,10/9/1984,00:00,,,17.700,0.000,17.700,81.390,81.390,63.690,17.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Glenn_06.21.1983-12.31.1991
394130N1219913W001,18N01W17G001M,3/8/1985,00:00,1 - Pumping,,,,,81.390,81.390,,,,,Department of Water Resources,Voluntary,,Glenn_06.21.1983-12.31.1991
394130N1219913W001,18N01W17G001M,4/20/1985,00:00,,,18.000,0.000,18.000,81.390,81.390,63.390,18.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Glenn_06.21.1983-12.31.1991
394130N1219913W001,18N01W17G001M,3/14/1986,00:00,,,2.000,0.000,2.000,81.390,81.390,79.390,2.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Glenn_06.21.1983-12.31.1991
394130N1219913W001,18N01W17G001M,10/6/1986,00:00,,,17.700,0.000,17.700,81.390,81.390,63.690,17.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Glenn_06.21.1983-12.31.1991
394130N1219913W001,18N01W17G001M,4/18/1987,00:00,,,15.800,0.000,15.800,81.390,81.390,65.590,15.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Glenn_06.21.1983-12.31.1991
394130N1219913W001,18N01W17G001M,10/13/1987,00:00,,,18.600,0.000,18.600,81.390,81.390,62.790,18.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Glenn_06.21.1983-12.31.1991
394130N1219913W001,18N01W17G001M,3/9/1988,00:00,,,18.300,0.000,18.300,81.390,81.390,63.090,18.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Glenn_06.21.1983-12.31.1991
394130N1219913W001,18N01W17G001M,11/9/1988,00:00,,,17.700,0.000,17.700,81.390,81.390,63.690,17.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Glenn_06.21.1983-12.31.1991
394130N1219913W001,18N01W17G001M,3/8/1989,00:00,,,17.300,0.000,17.300,81.390,81.390,64.090,17.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Glenn_06.21.1983-12.31.1991
